"Institution","Program (Season)","Decision & Date","St1","Date Added","Notes"
"Boston University School Of Medicine","Biomolecular Pharmacology, PhD (F16)","Interview via E-mail on 22 Dec 2015 ","A","26 Dec 2015",""
"Boston University School Of Medicine","Graduate Program In Biomedical Sciences, PhD (F15)","Interview via E-mail on 18 Dec 2015 ","A","26 Dec 2015",""
"Boston University (BU)","Pibs Microbiology And Immunology, PhD (F16)","Rejected via E-mail on 12 Dec 2015 Undergrad GPA: 8.28GRE General (V/Q/W): 149/159/3.50GRE Subject: n/a♦","I","24 Dec 2015",""
"Boston University","Bioinformatics, Masters (F16)","Accepted via E-mail on 21 Dec 2015 ","I","22 Dec 2015",""
"Boston University (BU)","Business - Organizational Behavior, PhD (F16)","Interview via E-mail on 13 Dec 2015 ","","21 Dec 2015","Excited !"
"Boston University School Of Public Health","Public Health MPH-Epidemiology, Masters (F16)","Accepted via E-mail on 18 Dec 2015 Undergrad GPA: 3.80GRE General (V/Q/W): 161/158/5.00GRE Subject: n/a♦","A","18 Dec 2015",""
"Boston University (BU)","PiBS, PhD (F16)","Rejected via E-mail on 13 Dec 2015 ","A","14 Dec 2015",""
"Boston University","Graduate Program In Biomedical Sciences, PhD (F16)","Interview via E-mail on 4 Dec 2015 Undergrad GPA: 3.95GRE General (V/Q/W): 166/167/4.50GRE Subject: n/a♦","I","4 Dec 2015",""
"Boston University (BU)","PiBS, PhD (F16)","Interview via E-mail on 2 Dec 2015 ","A","3 Dec 2015",""
"Boston University - Metropolitan College","Criminal Justice (Online), Masters (S16)","Accepted via Phone on 20 Oct 2015 ","A","20 Oct 2015","Accepted via phone, email, and letter today for the Spring 2016 online program!  Still waiting on two other schools."
"Boston University","Criminal Justice, Masters (S16)","Other via Other on 14 Oct 2015 ","A","14 Oct 2015","Any feedback on how long it takes to hear from online-based master's programs at BU?"
"Boston University (BU)","Mental Health Counseling & Behavioral Medicine, Masters (F15)","Accepted via E-mail on 19 Jun 2015 Undergrad GPA: 3.00GRE General (V/Q/W): 164/163/5.00GRE Subject: n/a♦","A","9 Jul 2015",""
"Boston University","Computer Science, Masters (F15)","Accepted via E-mail on 5 Jun 2015 ","I","5 Jun 2015","Very Costly! But would go!"
"Boston University","Speech Language Pathology, Masters (F15)","Wait listed via Other on 29 May 2015 ","I","29 May 2015","Is anyone else on the waitlist who hasn't heard back yet? Last week I received an email saying I would receive an update on my decision at the beginning of this week, which never happened.."
"Boston University","Computer Science, Masters (F15)","Accepted via E-mail on 15 May 2015 Undergrad GPA: n/aGRE General (V/Q/W): 164/163/4.00GRE Subject: n/a♦","I","23 May 2015",""
"Boston University","Computer Science, Masters (F15)","Accepted via E-mail on 14 May 2015 Undergrad GPA: 3.30GRE General (V/Q/W): 161/166/4.00GRE Subject: n/a♦","I","20 May 2015","From founding batch of a university in India, which is probably why the likes of CMU, GeorgiaTech, Cornell, Columbia, and UPenn rejected me.
Only admit, applied late so no scholarship. Will most probably be attending.

Anyone else joining or has information about student groups on FB, please message me : gautambhat1993@gmail.com"
"Boston University","Global Development Policy, Masters (F15)","Accepted via E-mail on 14 May 2015 ","U","17 May 2015","I am the one post on May 14. Someone ask for GRE and TOEFL. I had 2 bachelor's degree, one of them from U.S institution so I don't need to submit TOEFL score.
Background: a bachelor's degree in economics, second bachelor's degree in business management and 1 MS degree in international relations. No publication. undergraduate major GPA: 3.89/4.00 Graduate with Magna cu* Laude"
"Boston University","Computer Science, Masters (F15)","Accepted via E-mail on 26 Mar 2015 ","I","15 May 2015","I could not find any groups in FB for BU. If anyone could post about some group it will be helpful."
"Boston University (BU)","Computer Science, Masters (F15)","Other via Other on 14 May 2015 Undergrad GPA: n/aGRE General (V/Q/W): 152/164/4.00GRE Subject: n/a♦","I","14 May 2015","I applied in the second week of April.

+ To the poster below who got an accept, could you share your profile details? Thanks."
"Boston University","Global Development Policy, Masters (F15)","Accepted via E-mail on 14 May 2015 ","U","14 May 2015",""
"Boston University","Computer Science, Masters (F15)","Accepted via E-mail on 21 Apr 2015 ","I","14 May 2015",""
"Boston University","Strategy And Innovation, PhD (F15)","Accepted via E-mail on 8 Mar 2015 ","A","13 May 2015",""
"Boston University","Psychology, Masters (F15)","Accepted via E-mail on 12 May 2015 ","A","12 May 2015","Accepted, but will be declining. I was informed far too late, and the letter said the psych dept does not provide funding to masters students. Will be attending TC, Columbia University instead. Good luck to all still waiting and on the waitlist."
"Boston University","Psychology, Masters (F15)","Accepted via E-mail on 12 May 2015 ","A","12 May 2015","Accepted, but will be declining. I was informed far too late, and the letter said the psych dept does not provide funding to masters students. Good luck to all still waiting and on the waitlist"
"Boston University","Computer Science, Masters (F15)","Other via Other on 12 May 2015 Undergrad GPA: 3.40GRE General (V/Q/W): 160/166/4.50GRE Subject: n/a♦","I","12 May 2015","To the Boston University query below.... When did you apply? Typical turnaround time is 4 weeks as mentioned on the Boston University GRS website. I applied in late April."
"Boston University (BU)","Computer Science, Masters (F15)","Other via Other on 10 May 2015 Undergrad GPA: 3.50GRE General (V/Q/W): 152/164/4.00GRE Subject: n/a♦","I","10 May 2015","Anyone heard back about the Fall 2015 Decisions."
"Boston University","Political Science, PhD (F15)","Rejected via E-mail on 8 May 2015 Undergrad GPA: 3.96GRE General (V/Q/W): 166/156/5.00GRE Subject: n/a♦","A","8 May 2015","Received a rejection just today...IN MAY! How unprofessional. Already accepted a great offer to a program that knows what it is doing."
"Boston University","Global Development Policy, Masters (F15)","Accepted via E-mail on 7 May 2015 Undergrad GPA: 3.14GRE General (V/Q/W): 163/149/4.50GRE Subject: n/a♦","A","7 May 2015","Generated e-mail and e-mail from current student"
"Boston University","Economics, Masters (F15)","Accepted via E-mail on 7 May 2015 Undergrad GPA: 3.76GRE General (V/Q/W): 0/163/0.00GRE Subject: n/a♦","A","7 May 2015","Unexpected, but still without funding. Not sure what to do."
"Boston University","Statistics, PhD (F15)","Rejected via E-mail on 6 May 2015 ","U","6 May 2015","Just received a super late rejection letter from BU. Wouldn't even attend such dumb school even if admitted."
"Boston University","Chemistry, PhD (F15)","Rejected via E-mail on 5 May 2015 ","","5 May 2015",""
"Boston University","Computer Science, PhD (F15)","Rejected via E-mail on 5 May 2015 ","I","5 May 2015","Sent the decision after over 5 months. The pdf was password protected am I had to dig out the password from online application which by the way is not directly accessible from departments website. This university is now officially my most hated university. Glad I was accepted at a better place and had already accepted their offer 1 month back."
"Boston University","Mathematical FInance, PhD (F15)","Rejected via E-mail on 1 May 2015 Undergrad GPA: 3.67GRE General (V/Q/W): 160/166/4.50GRE Subject: n/a♦","U","1 May 2015","Finally... :D"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 1 May 2015 ","O","1 May 2015","Hey guys, I would like to say, BU is not a good place for finance researchers, not to mention the fact that they have the notorious tradition of waiting list almost all the candidates in order to tease them again and again till the last second."
"Boston University","Mathematical Fiannce, PhD (F15)","Other via Other on 1 May 2015 ","O","1 May 2015","Hey guys, I would like to say, BU is not a good place for finance researchers, not to mention the fact that they have the notorious tradition of waiting list almost all the candidates in order to tease them again and again till the last second."
"Boston University","Mathematical Finance, PhD (F15)","Rejected via E-mail on 1 May 2015 ","U","1 May 2015","hehe"
"Boston University","Mathematical Finance, PhD (F15)","Rejected via E-mail on 1 May 2015 ","U","1 May 2015","idiots"
"Boston University","Creative Writing, MFA (F15)","Rejected via E-mail on 30 Apr 2015 ","A","1 May 2015","Just got a 2nd rejection (a couple weeks after the first). Unnecessary. Don't care because I am going to a great program in the fall, but thought I should report both for lateness and unprofessional nature."
"Boston University","Computer Science, PhD (F15)","Other via Other on 1 May 2015 ","O","1 May 2015","Anything now someone???"
"Boston University","Public Health, Masters (F15)","Accepted via E-mail on 31 Mar 2015 Undergrad GPA: n/aGRE General (V/Q/W): 155/148/4.00GRE Subject: n/a♦","A","30 Apr 2015","Surprise acceptance but expensive choice. Not sure"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 30 Apr 2015 ","O","30 Apr 2015","To poster below, how did you know that they admitted two master students? What's your information source?"
"Boston University","Psychology, Masters (F14)","Accepted via E-mail on 30 Apr 2015 ","A","30 Apr 2015","I was very happy to find out that I was accepted. I also got and off for University of Maryland MPSS in psychology, any suggestions on which is better if I'm looking to get a PhD?"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 30 Apr 2015 ","O","30 Apr 2015","To the future applicants: Don't even bother to apply this program. They can't even let you know their decision in 5 months. Waste of time and money."
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 30 Apr 2015 ","O","30 Apr 2015","So what's the other offer they gave, what's his background if he's not a master there before?"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 29 Apr 2015 ","U","29 Apr 2015","That is what I thought about. Their master students accept the offers so no one will post the offers on the website. BU waitlist a lot of people but it is actually a rej. I guess later on BU will send out the rej letters. Sad and finally move on my life."
"Boston University","Global Health, Masters (F15)","Accepted via E-mail on 29 Apr 2015 Undergrad GPA: 3.00GRE General (V/Q/W): 150/142/4.00GRE Subject: n/a♦","A","29 Apr 2015","LOR's, Statement of Purpose goes a loooonnnggg way!!! :-)"
"Boston University","Mathematical Finance, PhD (F15)","Other via E-mail on 29 Apr 2015 ","O","29 Apr 2015","To whom it may concern: they have 3 positions open this year, and 2 were filled by their master students. Question: what's the acceptance rate for those who are not in their master program."
"Boston University","Mathematical Finance, PhD (F15)","Other via Website on 29 Apr 2015 ","","29 Apr 2015","Most rational statement I've seen since I've started my PhD applications. Moving on now. Already feeling better.
vvv"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 29 Apr 2015 ","O","29 Apr 2015","I think the second interviewed guy who ever posted below got the last offer. Congrats. Other guys(including myself), let's fu** BU and work harder to get better next time. Move on!"
"Boston University","Mathematical Finance, PhD (F15)","Rejected via E-mail on 29 Apr 2015 Undergrad GPA: n/aGRE General (V/Q/W): 150/168/3.50GRE Subject: n/a♦","I","29 Apr 2015","Get the email from Professor Rindisbacher. I was on the top 3 of the shortlist, but they have made their offer to someone else, and the guy seemed to have accepted already. Will try harder next year,"
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via Website on 29 Apr 2015 ","","29 Apr 2015","Any updates guys? Don't be shy now. According to their website, the acceptance was 2% for F2014. Given this fact, the questions naturally arises: why are they keeping so many of us on the waitlist? At this particular late stage, I have the tendency to equate being still wasitlisted to silent rejection. Prove me wrong! Good luck to all of us as the ""waiting"" takes its toll on us."
"Boston University","Materials Science And Engineering, PhD (F15)","Rejected via E-mail on 29 Apr 2015 Undergrad GPA: 3.59GRE General (V/Q/W): 154/164/3.00GRE Subject: n/a♦","I","29 Apr 2015","It is so late! Feeling bad! Any way, congrats to those who got accepted!"
"Boston University","Biostatistics, PhD (F15)","Rejected via E-mail on 28 Apr 2015 ","U","28 Apr 2015",""
"Boston University","Advertising, Masters (F15)","Accepted via E-mail on 28 Apr 2015 Undergrad GPA: 3.10GRE General (V/Q/W): 150/152/3.00GRE Subject: n/a♦","I","28 Apr 2015","strong LOR, 6 years work experience, good essay"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 28 Apr 2015 ","O","28 Apr 2015","To the poster below: which kind of interview is not official?"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 28 Apr 2015 ","O","28 Apr 2015","Mine wasn't exactly an official interview and I didn't hear back from them yet."
"Boston University","Genetic Counseling, Masters (F15)","Accepted via E-mail on 27 Apr 2015 Undergrad GPA: 3.20GRE General (V/Q/W): 159/158/5.50GRE Subject: n/a♦","A","28 Apr 2015","FYI future applicants: 180 people applied, 45 interviewed, 8 accepted."
"Boston University","Mathematical Finance, Other (F15)","Other via Other on 27 Apr 2015 ","O","27 Apr 2015","Same question as the poster below, what's wrong with this program?"
"Boston University","Genetic Counseling, Masters (F15)","Wait listed via Phone on 27 Apr 2015 ","A","27 Apr 2015","If you were accepted and aren't taking your offer please reject, hoping for better news soon!!"
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 27 Apr 2015 ","I","27 Apr 2015","Anybody has any updates on waitlists? What about those waitlisted candidates who were interviewed? Still waiting to hear back from them? I wrote an email to the departmental head almost a week ago, but have not recieved any response"
"Boston University","English, Masters (F15)","Rejected via E-mail on 24 Apr 2015 ","U","26 Apr 2015","Good luck to everyone who is still waiting for the result."
"Boston University","Biostatistics, Masters (F15)","Rejected via Postal Service on 25 Apr 2015 ","U","26 Apr 2015","I found they accepted over 300 applicants last year. After long time of waiting, finally get the letter - rejection letter. What would I say, already assumed a rejection at this time late April.."
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 25 Apr 2015 ","O","25 Apr 2015","Guys who had interviews, do you have any news? If you know something, please inform others here. Thank you so much."
"Boston University","Biostatistics, PhD (F15)","Wait listed via Other on 24 Apr 2015 ","U","24 Apr 2015","Nothing so far after being interviewed by the professor."
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via Other on 24 Apr 2015 ","U","24 Apr 2015","Yes please inform us ASAP. I want to move on with my life!!! I am ok with either decisions but I am so tired of waiting :(

I hope these chats will stay here forever as a shame for BU!"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 24 Apr 2015 ","A","24 Apr 2015","Dear all, we are now in the same boat, so if you have any information, please share with others. Hope everyone has a good news."
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 24 Apr 2015 ","U","24 Apr 2015","lol. They are really late for the decisions even their applicants are chatting on gradcafe. (I am joking) I am worry that someone has received offers but does not post here. Or BU accept their master students so no one will speak about the decisions. Anyway, if someone gets offers fro BU please let us know, many thanks!"
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via Other on 23 Apr 2015 ","O","23 Apr 2015","To the poster below: We have a strong theory that they didn't send any offer but only waitlist to the candidates they consider. Because they were late with the application process and they are considering them now.. Otherwise it is really weird that there isn't any accepted entry here. Anyway I am really annoyed that we haven't heard from them yet."
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 23 Apr 2015 ","U","23 Apr 2015","I am also waitlisted by BU but I have not got interviews. I heard that BU might have waitlisted all its applicants, i.e. they do not reject people instead they send offers and waitlists. I do not know if this is true, but I wonder if anyone has got rejections or offers yet? Thanks. (This is my final school and I am staying in US simply waiting for BU's news, once I got reply I need to fly back to my home country as soon as possible.)"
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 23 Apr 2015 ","A","23 Apr 2015","Hi, did anyone get the offer?"
"Boston University","Master Of Public Health, Epidemiology Concentration, Other (F15)","Accepted via E-mail on 30 Mar 2015 Undergrad GPA: 3.60GRE General (V/Q/W): 156/152/4.00GRE Subject: n/a♦","A","23 Apr 2015",""
"Boston University","Biostatistics, PhD (F15)","Other via Other on 23 Apr 2015 ","U","23 Apr 2015","Really annoyed by BU since I haven't heard ANYTHING from them. Can I assume a rejection? Anyone got any ideas? Please..."
"Boston University","Physics, PhD (F15)","Rejected via E-mail on 21 Apr 2015 ","U","23 Apr 2015","CME. rejected off the waitlist. strong LOR & research experience. it's a tough year."
"Boston University","Medical Anthropology & Cross-Cultural Practice, Masters (F15)","Accepted via E-mail on 15 Apr 2015 Undergrad GPA: 3.18GRE General (V/Q/W): 161/163/3.50GRE Subject: n/a♦","U","23 Apr 2015","partial funding. Very warm, personalized email."
"Boston University","Occupational Therapy, Masters (F15)","Accepted via E-mail on 22 Apr 2015 Undergrad GPA: 3.50GRE General (V/Q/W): 153/160/4.00GRE Subject: n/a♦","A","22 Apr 2015","Accepted off the wait list, absolutely ecstatic!"
"Boston University","Behavioral Neuroscience, PhD (F15)","Rejected via E-mail on 16 Apr 2015 Undergrad GPA: 3.74GRE General (V/Q/W): 160/154/0.00GRE Subject: n/a♦","A","22 Apr 2015","took over 3 months to hear back. no interview. not surprised with results."
"Boston University","Masters Of Actuarial Science, Masters (F15)","Accepted via E-mail on 22 Apr 2015 ","O","22 Apr 2015",""
"Boston University","Physics, PhD (F15)","Rejected via E-mail on 21 Apr 2015 Undergrad GPA: 3.97GRE General (V/Q/W): 155/167/2.50GRE Subject: 880♦","I","21 Apr 2015","Quantum CMT"
"Boston University","Mathematical Finance, PhD (F15)","Other via E-mail on 21 Apr 2015 ","O","21 Apr 2015","To the poster below: Please stop asking everyone about their majors, schools etc. We are trying to know about the timing of the decision process, not people's profiles. Thanks. -Second guy interviewed"
"Northeastern University Boston","Computer Science, Masters (F15)","Accepted via E-mail on 7 Apr 2015 Undergrad GPA: 3.30GRE General (V/Q/W): 154/156/4.00GRE Subject: n/a♦","I","20 Apr 2015",""
"Boston University","Social Work, Masters (F15)","Accepted via E-mail on 25 Feb 2015 ","","20 Apr 2015","Accepted to the full time MSW program at BU! This is my first choice and I am most likely attending! Hoping to speak with other students who will be attending in the MSW program! Join the FBook group if you will be attending BUSSW Incoming Students Fall 2015 join this group or comment if you are attending! :)"
"Boston University","Social Work, Masters (F15)","Accepted via E-mail on 25 Feb 2015 ","","20 Apr 2015","Accepted to the full time MSW program at BU! This is my first choice and I am most likely attending! Hoping to speak with other students who will be attending in the MSW program! https://www.facebook.com/groups/busswfall2015/ 
join this group or comment if you are attending! :)"
"Boston University","Speech And Language Pathology, Masters (F14)","Other via Other on 20 Apr 2015 ","A","20 Apr 2015","Facebook Group! https://www.facebook.com/groups/921159047935840/"
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 19 Apr 2015 ","O","19 Apr 2015","To the second guy who had interview: are you now in USA? which school are your currently in and what's your major? Thank you for share."
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 28 Mar 2015 ","U","18 Apr 2015","To the poster below who was interviewed: May I ask which professor interviewed you? I was also interviewed but they told me they will let me know next week."
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 18 Apr 2015 ","U","18 Apr 2015","To the poster below: Thank you so much. Do you know any information about the placement of this program? I couldn't find it online. What's your major and which school are you currently in? Thank you."
"Boston University","Mathematical Finance, PhD (F15)","Other via Other on 18 Apr 2015 Undergrad GPA: n/aGRE General (V/Q/W): 150/168/3.50GRE Subject: n/a♦","I","18 Apr 2015","to the poster below: I am not sure how many people are they giving offer to, but they said they would let me know their decision within a couple of days. Wish you all the best. :)"
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 18 Apr 2015 ","U","18 Apr 2015","To the poster below: hi, not yet, do you know how many more people they will admit and around what time they will finally decide, what's your major? It's already 4.18...Thank you so much."
"Boston University","International Affairs, Masters (F14)","Accepted via E-mail on 15 Apr 2015 ","A","18 Apr 2015",""
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 18 Apr 2015 ","U","18 Apr 2015","To the poster below: Could I know where you are from? What time did you have the interview and what did they ask about? How's your background?Thank you so much."
"Boston University","Mathematical Finance, PhD (F15)","Interview via E-mail on 17 Apr 2015 Undergrad GPA: n/aGRE General (V/Q/W): 150/168/3.50GRE Subject: n/a♦","I","18 Apr 2015","To the poster below: I have already interviewed yesterday. How about you?"
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 18 Apr 2015 ","U","18 Apr 2015","To the poster below: did you or are you scheduled to have the interview with the admission committee so far?"
"Boston University","System Engineering, PhD (F15)","Rejected via E-mail on 17 Apr 2015 Undergrad GPA: 3.82GRE General (V/Q/W): 152/170/4.50GRE Subject: n/a♦","I","17 Apr 2015","BS in Mechanical Engineering, SUT"
"Boston University","Screenwriting, MFA (F15)","Rejected via E-mail on 16 Apr 2015 ","A","16 Apr 2015","It's a little frustrating it took so long to get a response, and a negative response at that.  Ironically, I was accepted into the Ivy League, so I'm going to be attending grad. school elsewhere, but might apply to BU again in the future."
"Boston University","Mathematical Finance, PhD (F15)","Other via E-mail on 16 Apr 2015 Undergrad GPA: n/aGRE General (V/Q/W): 150/168/3.50GRE Subject: n/a♦","I","16 Apr 2015","To the one below, this one is likely to be my only offer. I respond that I would definitely go if they give me the offer."
"Boston University","Political Science, PhD (F15)","Rejected via E-mail on 16 Apr 2015 ","U","16 Apr 2015","we received enough candidates from our first round, so unfortunately we were not able to move into the wait list which you were on."
"Boston University","Computer Science, PhD (F15)","Other via Other on 16 Apr 2015 ","","16 Apr 2015","Anyone heard anything for God's sake...?!"
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 16 Apr 2015 ","O","16 Apr 2015","To the poster below: do you accept other offers? which program are you going to accept? I am also on the waiting list."
"Boston University","Mathematical Finance, PhD (F15)","Wait listed via E-mail on 15 Apr 2015 Undergrad GPA: n/aGRE General (V/Q/W): 150/168/3.50GRE Subject: n/a♦","I","16 Apr 2015","Received an email that mentioned I am on the top of the waitlist and asked about if I am still interested in the program. Holysh**!! They never told me that I am on the waitlist before!!! God bless me."
"Boston University","Computer Science, PhD (F15)","Other via Other on 15 Apr 2015 ","O","15 Apr 2015","Any news from BU?? Anyone..."
"Boston University","Statistics, PhD (F15)","Rejected via E-mail on 15 Apr 2015 ","U","15 Apr 2015","Last day rejection"
"Boston University","Pharmacology, PhD (F15)","Rejected via E-mail on 15 Apr 2015 ","U","15 Apr 2015","I guess all those who had not accepted their offers by now accepted it by today. :( I really liked this program. Being an international student is not that good I guess. No matter the high GPA, the professional degree or research and articles."
"Boston University","Classics, PhD (F15)","Accepted via Phone on 13 Apr 2015 ","A","15 Apr 2015","Accepted off the waitlist, delighted"
"Boston University","Creative Writing, Fiction, MFA (F15)","Rejected via E-mail on 14 Apr 2015 ","A","15 Apr 2015","Had accepted another offer days before. This was the last school though so now it finally feels finished. What a hellish 8 months! Now time to MFA."
"Boston University","Musicology, PhD (F15)","Rejected via E-mail on 15 Apr 2015 ","A","15 Apr 2015",""
"Boston University","Creative Writing (Fiction), MFA (F15)","Accepted via Phone on 27 Mar 2015 ","A","15 Apr 2015","Notified by phone at the end of March. Accepted the offer."
"Boston University","Musicology, PhD (F15)","Rejected via E-mail on 14 Apr 2015 ","","15 Apr 2015","Post Master's PhD"
"Boston University","Clinical Psychology, PhD (F15)","Accepted via Phone on 15 Apr 2015 ","A","15 Apr 2015","I was just notified I have been accepted from the wait list at BU! So excited. My PI emailed me to let me know I was on the ""Active wait list"" two weeks ago, and after a Skype interview and a phone call, I got in. Definitely accepting."
"Boston University","Astronomy, PhD (F15)","Wait listed via E-mail on 15 Apr 2015 Undergrad GPA: 3.34GRE General (V/Q/W): 165/168/5.00GRE Subject: 760♦","A","15 Apr 2015","Whatever."
"Boston University","Physics, PhD (F15)","Wait listed via E-mail on 7 Apr 2015 Undergrad GPA: 3.68GRE General (V/Q/W): 0/0/0.00GRE Subject: 740♦","U","14 Apr 2015","I am still patiently waiting. I really hope I get in off the waitlist. Please, please decline your offer soon if you are not going."
"Boston University","Speech Pathology, Masters (F15)","Accepted via Other on 14 Apr 2015 ","A","14 Apr 2015","Is there a Facebook group for people planning to go here yet?!"
"Boston University","Creative Writing (Fiction), MFA (F15)","Rejected via E-mail on 14 Apr 2015 ","A","14 Apr 2015","There's that rejection I was waiting for all day yesterday..."
"Boston University","Religious Studies, PhD (F15)","Other via Other on 14 Apr 2015 ","O","14 Apr 2015","Has everyone heard from BU? still waiting for the result..."
"Boston University","Creative Writing (Fiction), MFA (F15)","Other via Other on 14 Apr 2015 ","O","14 Apr 2015","Also still haven't heard from BU yet....."
"Boston University","Creative Writing (Fiction), MFA (F15)","Other via Other on 14 Apr 2015 ","I","14 Apr 2015","Am I the only one who did not receive anything from BU? Really nervous, bc I don't have many other options."
"Boston University","Epidemiology, PhD (F15)","Accepted via E-mail on 14 Apr 2015 ","A","14 Apr 2015","Wait list conversion...THANK YOU to whoever decided on another school!"
"Boston University","Creative Writing, MFA (F15)","Rejected via E-mail on 13 Apr 2015 ","","14 Apr 2015","I'm really disappointed that BU kept delaying their decisions for fiction. They finally decided 2 days before the dreaded April 15 decision deadline. I wish they didn't prolong the agonizing wait. A rejection, but at least I can finally accept my offer elsewhere!"
"Boston University","Creative Writing, MFA (F15)","Rejected via E-mail on 14 Apr 2015 ","A","14 Apr 2015",""
"Boston University","Neuroscience (GMS), PhD (F15)","Rejected via E-mail on 13 Apr 2015 Undergrad GPA: 3.68GRE General (V/Q/W): 169/166/4.50GRE Subject: n/a♦","A","13 Apr 2015","Ha to the person who said 'just like the old gypsy woman said' :P"
"Boston University","Creative Writing (Fiction), MFA (F15)","Rejected via E-mail on 13 Apr 2015 ","A","13 Apr 2015","Email from the director. Said they received 350 applications for fiction this year."
"Boston University","Creative Writing - Fiction, Masters (F15)","Rejected via E-mail on 13 Apr 2015 ","I","13 Apr 2015","Best wishes to the ten students who were accepted."
"Boston University","Mathematics, PhD (F15)","Wait listed via E-mail on 1 Apr 2015 ","I","13 Apr 2015","Please decline their offer if you are not planningto attend! I have not been admitted in anywhere else, and they told me that I am very high on their wait list."
"Boston University","Neuroscience, PhD (F15)","Rejected via E-mail on 13 Apr 2015 ","A","13 Apr 2015","Just like the old gypsy woman said...."
"Boston University","Creative Writing - Fiction, Masters (F15)","Other via Other on 13 Apr 2015 ","I","13 Apr 2015","Still waiting for acceptance/rejection in Fiction."
"Boston University","Computer Science, PhD (F15)","Other via Other on 13 Apr 2015 ","A","13 Apr 2015","Has anyone heard back from BU computer science. I wrote them twice but no reply."
"Boston University","Sociology, PhD (F14)","Wait listed via Phone on 10 Apr 2015 ","A","12 Apr 2015",""
"Boston University","Classics, PhD (F15)","Other via Other on 10 Apr 2015 ","A","11 Apr 2015","I saw that someone was very anxious to get into BU, and I am very sorry for the unavoidable delay. I have decided to take another offer. I hope you get in! Good luck!"
"Boston University","Art History, Masters (F15)","Accepted via E-mail on 10 Apr 2015 ","A","10 Apr 2015",""
"Boston University","Art History, PhD (F15)","Rejected via E-mail on 10 Apr 2015 Undergrad GPA: 4.00GRE General (V/Q/W): 166/150/5.00GRE Subject: n/a♦","A","10 Apr 2015","Generic email accepting me to the MA; I applied for the MA/PhD. Will not be attending as I have a PhD offer elsewhere."
"Boston University","Religious Studies, Masters (F15)","Rejected via Other on 10 Apr 2015 ","A","10 Apr 2015","Notified by POI, then received an email"
"Boston University","Cognitive, PhD (F15)","Rejected via E-mail on 6 Apr 2015 Undergrad GPA: 3.35GRE General (V/Q/W): 155/138/4.00GRE Subject: n/a♦","A","10 Apr 2015",""
"Boston University","MFA Creative Writing, MFA (F15)","Other via Other on 10 Apr 2015 ","O","10 Apr 2015","How many applications does BU Creative Writing receive? I'm really nervous of the chances
"
"Boston University","Political Science, PhD (F15)","Wait listed via Other on 9 Apr 2015 ","U","9 Apr 2015","For those who have a better offer, please contact the admission office as soon as you can :(. Boston University is my only Phd possible offer, thanks thanks thanks"
"Boston University","Economics, PhD (F15)","Other via Other on 9 Apr 2015 ","U","9 Apr 2015","Did everyone on waitlist get updated news regarding the waitlist?"
"Boston University","Creative Writing (fiction), MFA (F15)","Other via Other on 9 Apr 2015 ","","9 Apr 2015","A couple days ago I heard that BU is still deciding for fiction. The wait is excruciating, but we'll have to wait longer."
"Boston University","Statistics, PhD (F15)","Rejected via E-mail on 8 Apr 2015 ","U","8 Apr 2015",""
"Boston University","Mathematics, PhD (F15)","Wait listed via E-mail on 8 Apr 2015 ","I","8 Apr 2015","Very high on the wait list and last chance. If you do not plan to attend, please decline. It would mean a lot to me!"
"Boston University","Creative Writing (Fiction), MFA (F15)","Other via Other on 8 Apr 2015 ","A","8 Apr 2015","To the person who also posted about BU, I haven't heard back yet either and with AWP going on, I imagine it's not the best sign to have not yer heard...."
"Boston University","Creative Writing, Fiction, MFA (F15)","Other via Other on 8 Apr 2015 ","O","8 Apr 2015","Has anyone heard from BU? I saw one fiction acceptance posted a few weeks ago on here, but no rejections yet."
"Boston University","Computer Science, PhD (F15)","Rejected via E-mail on 8 Apr 2015 ","I","8 Apr 2015",""
"University Of Massachusetts Boston","Mental Health Counseling, Masters (F15)","Accepted via Website on 7 Apr 2015 ","A","8 Apr 2015",""
